web-scraper-order,web-scraper-start-url,house-link,house-link-href,title,rent-cost,house-area,location,bedroom,bathroom
"1716832615-21","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà khu liên doanh 212 Nguyễn Hữu Cảnh","8 triệu/tháng","100 m²","Vũng Tàu, Bà Rịa Vũng Tàu","2","2"
"1716832615-22","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà nguyên căn DT 56m2, PK, 2PN, 2WC, bếp điện từ âm, đồng hồ riêng, giá thuê 6tr/tháng","6 triệu/tháng","56 m²","Gò Vấp, Hồ Chí Minh","2","2"
"1716832615-23","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Chính chủ cần cho thuê nhà mới xây 4 tầng, 35m2, Thôn Yên Lũng, cách ĐL Thăng Long 400m","8 triệu/tháng","35 m²","Hoài Đức, Hà Nội","3","3"
"1716832615-24","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà nguyên căn 4x18m, 1 trệt 1 lầu","10 triệu/tháng","72 m²","Tân Bình, Hồ Chí Minh","2","2"
"1716832615-25","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Nhà Khu Tên Lửa 3 lầu 6 phòng ngủ 6 máy lạnh","15 triệu/tháng","240 m²","Bình Tân, Hồ Chí Minh","6","3"
"1716832615-26","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà phố KDC P. Bình Trưng Đông Quận 2Hỗ trợ gói chuyển nhà 4 triệu khi LH 0903 034 ***","17 triệu/tháng","80 m²","Quận 2, Hồ Chí Minh","4","4"
"1716832615-27","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà cấp 4, 30m2 rộng rãi thoáng mát, giá: 16tr/tháng","16 triệu/tháng","30 m²","Quận 7, Hồ Chí Minh","",""
"1716832615-28","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà riêng trong ngõ. Phố Tây Hồ Quảng An XD 4 tầng","30 triệu/tháng","75 m²","Tây Hồ, Hà Nội","5",""
"1716832615-29","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà 3 tầng - có gara ô tô, ngõ rộng. Diện tích 300m2 - mặt tiền 15m","30 triệu/tháng","300 m²","Tây Hồ, Hà Nội","3","3"
"1716832615-30","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Cho thuê nhà khu F361 an dương đường 11 .Yên phụ .Tây Ho","21 triệu/tháng","81 m²","Tây Hồ, Hà Nội","",""
